Bairro,NumerodeHomicidios,Regional,PopulacaoTotal,PopHomens,PopMulheres,MediaMoradores,RazaoDep,Id,GID,Geometria,HomicidioPopulacao
JARDIM DAS OLIVEIRAS,31,REGIONAL 6,29571,14024,15547,3.56,"43,43",Limite Bairro.fid-2be50750_153af4824fe_2d59,33,POLYGON,104.832
JARDIM GUANABARA,6,REGIONAL 1,14919,6937,7982,3.48,"41,14",Limite Bairro.fid-2be50750_153af4824fe_2d43,31,POLYGON,40.217
JARDIM IRACEMA,29,REGIONAL 1,23184,10968,12216,3.52,"42,27",Limite Bairro.fid-2be50750_153af4824fe_2d41,13,POLYGON,125.086
JOAO XXIII,10,REGIONAL 3,18398,8661,9737,3.5,"41,69",Limite Bairro.fid-2be50750_153af4824fe_2d83,76,POLYGON,54.354
JOAQUIM TAVORA,4,REGIONAL 2,23450,10107,13343,3.15,"35,68",Limite Bairro.fid-2be50750_153af4824fe_2d96,100,POLYGON,17.058
JOQUEI CLUBE,7,REGIONAL 3,19331,8867,10464,3.4,"37,52",Limite Bairro.fid-2be50750_153af4824fe_2d9f,116,POLYGON,36.211
JOSE BONIFACIO,3,REGIONAL 4,8848,3842,5006,3.11,"37,16",Limite Bairro.fid-2be50750_153af4824fe_2d56,34,POLYGON,33.906
LAGOA REDONDA,13,REGIONAL 6,27949,13356,14593,3.5,"43,83",Limite Bairro.fid-2be50750_153af4824fe_2d60,40,POLYGON,46.513
MARAPONGA,12,REGIONAL 5,10155,4720,5435,3.31,"37,17",Limite Bairro.fid-2be50750_153af4824fe_2d89,82,POLYGON,118.168
BOA VISTA,1,REGIONAL 6,12247,5869,6378,3.42,"43,51",Limite Bairro.fid-2be50750_153af4824fe_2d66,43,POLYGON,8.165
MEIRELES,2,REGIONAL 2,36982,16171,20811,2.91,"33,6",Limite Bairro.fid-2be50750_153af4824fe_2d3a,88,POLYGON,5.408
MESSEJANA,46,REGIONAL 6,41689,19277,22412,3.41,"38,02",Limite Bairro.fid-2be50750_153af4824fe_2d75,61,POLYGON,110.341
MONDUBIM,47,REGIONAL 5,76044,36555,39489,3.44,"42,97",Limite Bairro.fid-2be50750_153af4824fe_2d9b,105,POLYGON,61.806
MONTE CASTELO,12,REGIONAL 1,13215,6118,7097,3.44,"39,28",Limite Bairro.fid-2be50750_153af4824fe_2d6b,51,POLYGON,90.806
MONTESE,4,REGIONAL 4,25970,11524,14446,3.26,"38,59",Limite Bairro.fid-2be50750_153af4824fe_2d5f,39,POLYGON,15.402
MUCURIPE,10,REGIONAL 2,13747,6239,7508,3.09,"36,19",Limite Bairro.fid-2be50750_153af4824fe_2d9a,104,POLYGON,72.743
