"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Prefeitura de Fortaleza","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Secretaria Municipal de Desenvolvimento Econômico (SDE)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Coordenadoria de Projetos e Desenvolvimento Econômico (COPDE)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tabela: População Total e por Gênero, Média de Moradores por Domicílio e Razão de Dependência","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Regional","Bairros","População Total","Pop. Homens","Pop. Mulheres","Média de moradores por domicílio","Razão de Dependência","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 4","Parangaba","30947","14271","16676","3.33","36.61","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 3","Parque Araxá","6715","2919","3796","3.33","38.83","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 6","Parque Dois Irmãos","27236","13072","14164","3.64","41.27","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 6","Parque Iracema","8409","3875","4534","3.07","35.35","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 6","Parque Manibura","7529","3472","4057","3.69","34.66","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 5","Parque Presidente Vargas","7192","3560","3632","3.69","51.57","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 6","Parque Santa Maria*","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 5","Parque Santa Rosa","12790","6106","6684","3.43","42.21","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 5","Parque São José","10486","5007","5479","3.47","45.22","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 3","Parquelândia","14432","6283","8149","3.22","36.61","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 4","Parreão","11072","4977","6095","3.43","39.8","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 6","Passaré","50940","24541","26399","3.38","42.92","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 6","Paupina","14665","7042","7623","3.46","41.55","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 6","Pedras","1342","670","672","3.63","46.99","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 3","Pici","42494","20330","22164","3.58","43","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 1","Pirambú","17775","8430","9345","3.65","49.62","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 5","Planalto Ayrton Senna","39446","19277","20169","3.56","46.83","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 2","Praia de Iracema","3130","1437","1693","2.87","34.28","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 2","Praia do Futuro I","6630","3224","3406","3.42","49.86","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 2","Praia do Futuro II","11957","5879","6078","3.46","48.74","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 5","Prefeito José Valter","33427","15401","18026","3.42","43.27","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 3","Presidente Kennedy","23004","10327","12677","3.43","37.83","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 3","Quintino Cunha","47277","22471","24806","3.58","42.43","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 3","Rodolfo Teófilo","19114","8575","10539","3.36","38.45","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 6","Sabiaguaba","2117","1043","1074","3.59","43.23","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 2","Salinas","4298","2014","2284","3.51","38.91","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 6","São Bento","11964","5771","6193","3.36","46.71","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 1","São Gerardo","14505","6376","8129","3.27","34.87","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 2","São João do Tauape","27598","12498","15100","3.32","39.31","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 6","Sapiranga/Coité","32158","15278","16880","3.73","43.25","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 4","Serrinha","28770","13823","14947","3.47","40.88","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 5","Siqueira","33628","16373","17255","3.63","51.59","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 2","Varjota","8421","3645","4776","3.01","32.07","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 1","Vila Ellery","7863","3544","4319","3.43","39.41","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 4","Vila Pery","20645","9517","11128","3.38","38.5","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 4","Vila União","15378","7090","8288","3.38","39.63","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 1","Vila Velha","61617","29108","32509","3.55","43.99","","","","","","","","","","","","","","","","","","","","","","",""
"REGIONAL 2","Vicente Pinzon","45518","21766","23752","3.55","42.98","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FONTE: Censo Demográfico - IBGE (2010)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELABORAÇÃO: COPDE/SDE (2014)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nota: *Bairros Novos - SEUMA (2014)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
